surrogate_key,sasdate,date_key,word_date,date,year,quarter,month,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
0,21915,10120,"January 1, 2020",2020-01-01,2020,1,1,1,0,Wed,4,JAN1960,NEWYEAR,ETC/GMT+7,GMT-07:00,-25200
1,21916,10220,"January 2, 2020",2020-01-02,2020,1,1,2,0,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
2,21917,10320,"January 3, 2020",2020-01-03,2020,1,1,3,0,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
3,21918,10420,"January 4, 2020",2020-01-04,2020,1,1,4,0,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
4,21919,10520,"January 5, 2020",2020-01-05,2020,1,1,5,1,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
5,21920,10620,"January 6, 2020",2020-01-06,2020,1,1,6,1,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
6,21921,10720,"January 7, 2020",2020-01-07,2020,1,1,7,1,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
7,21922,10820,"January 8, 2020",2020-01-08,2020,1,1,8,1,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
8,21923,10920,"January 9, 2020",2020-01-09,2020,1,1,9,1,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
9,21924,11020,"January 10, 2020",2020-01-10,2020,1,1,10,1,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
10,21925,11120,"January 11, 2020",2020-01-11,2020,1,1,11,1,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
11,21926,11220,"January 12, 2020",2020-01-12,2020,1,1,12,2,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
12,21927,11320,"January 13, 2020",2020-01-13,2020,1,1,13,2,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
13,21928,11420,"January 14, 2020",2020-01-14,2020,1,1,14,2,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
14,21929,11520,"January 15, 2020",2020-01-15,2020,1,1,15,2,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
15,21930,11620,"January 16, 2020",2020-01-16,2020,1,1,16,2,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
16,21931,11720,"January 17, 2020",2020-01-17,2020,1,1,17,2,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
17,21932,11820,"January 18, 2020",2020-01-18,2020,1,1,18,2,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
18,21933,11920,"January 19, 2020",2020-01-19,2020,1,1,19,3,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
19,21934,12020,"January 20, 2020",2020-01-20,2020,1,1,20,3,Mon,2,JAN1960,MLK,ETC/GMT+7,GMT-07:00,-25200
20,21935,12120,"January 21, 2020",2020-01-21,2020,1,1,21,3,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
21,21936,12220,"January 22, 2020",2020-01-22,2020,1,1,22,3,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
22,21937,12320,"January 23, 2020",2020-01-23,2020,1,1,23,3,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
23,21938,12420,"January 24, 2020",2020-01-24,2020,1,1,24,3,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
24,21939,12520,"January 25, 2020",2020-01-25,2020,1,1,25,3,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
25,21940,12620,"January 26, 2020",2020-01-26,2020,1,1,26,4,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
26,21941,12720,"January 27, 2020",2020-01-27,2020,1,1,27,4,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
27,21942,12820,"January 28, 2020",2020-01-28,2020,1,1,28,4,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
28,21943,12920,"January 29, 2020",2020-01-29,2020,1,1,29,4,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
29,21944,13020,"January 30, 2020",2020-01-30,2020,1,1,30,4,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
30,21945,13120,"January 31, 2020",2020-01-31,2020,1,1,31,4,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
31,21946,20120,"February 1, 2020",2020-02-01,2020,1,2,1,4,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
32,21947,20220,"February 2, 2020",2020-02-02,2020,1,2,2,5,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
33,21948,20320,"February 3, 2020",2020-02-03,2020,1,2,3,5,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
34,21949,20420,"February 4, 2020",2020-02-04,2020,1,2,4,5,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
35,21950,20520,"February 5, 2020",2020-02-05,2020,1,2,5,5,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
36,21951,20620,"February 6, 2020",2020-02-06,2020,1,2,6,5,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
37,21952,20720,"February 7, 2020",2020-02-07,2020,1,2,7,5,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
38,21953,20820,"February 8, 2020",2020-02-08,2020,1,2,8,5,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
39,21954,20920,"February 9, 2020",2020-02-09,2020,1,2,9,6,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
40,21955,21020,"February 10, 2020",2020-02-10,2020,1,2,10,6,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
41,21956,21120,"February 11, 2020",2020-02-11,2020,1,2,11,6,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
42,21957,21220,"February 12, 2020",2020-02-12,2020,1,2,12,6,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
43,21958,21320,"February 13, 2020",2020-02-13,2020,1,2,13,6,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
44,21959,21420,"February 14, 2020",2020-02-14,2020,1,2,14,6,Fri,6,JAN1960,VALENTINES,ETC/GMT+7,GMT-07:00,-25200
45,21960,21520,"February 15, 2020",2020-02-15,2020,1,2,15,6,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
46,21961,21620,"February 16, 2020",2020-02-16,2020,1,2,16,7,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
47,21962,21720,"February 17, 2020",2020-02-17,2020,1,2,17,7,Mon,2,JAN1960,USPRESIDENTS,ETC/GMT+7,GMT-07:00,-25200
48,21963,21820,"February 18, 2020",2020-02-18,2020,1,2,18,7,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
49,21964,21920,"February 19, 2020",2020-02-19,2020,1,2,19,7,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
50,21965,22020,"February 20, 2020",2020-02-20,2020,1,2,20,7,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
51,21966,22120,"February 21, 2020",2020-02-21,2020,1,2,21,7,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
52,21967,22220,"February 22, 2020",2020-02-22,2020,1,2,22,7,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
53,21968,22320,"February 23, 2020",2020-02-23,2020,1,2,23,8,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
54,21969,22420,"February 24, 2020",2020-02-24,2020,1,2,24,8,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
55,21970,22520,"February 25, 2020",2020-02-25,2020,1,2,25,8,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
56,21971,22620,"February 26, 2020",2020-02-26,2020,1,2,26,8,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
57,21972,22720,"February 27, 2020",2020-02-27,2020,1,2,27,8,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
58,21973,22820,"February 28, 2020",2020-02-28,2020,1,2,28,8,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
59,21974,22920,"February 29, 2020",2020-02-29,2020,1,2,29,8,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
60,21975,30120,"March 1, 2020",2020-03-01,2020,1,3,1,9,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
61,21976,30220,"March 2, 2020",2020-03-02,2020,1,3,2,9,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
62,21977,30320,"March 3, 2020",2020-03-03,2020,1,3,3,9,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
63,21978,30420,"March 4, 2020",2020-03-04,2020,1,3,4,9,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
64,21979,30520,"March 5, 2020",2020-03-05,2020,1,3,5,9,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
65,21980,30620,"March 6, 2020",2020-03-06,2020,1,3,6,9,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
66,21981,30720,"March 7, 2020",2020-03-07,2020,1,3,7,9,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
67,21982,30820,"March 8, 2020",2020-03-08,2020,1,3,8,10,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
68,21983,30920,"March 9, 2020",2020-03-09,2020,1,3,9,10,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
69,21984,31020,"March 10, 2020",2020-03-10,2020,1,3,10,10,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
70,21985,31120,"March 11, 2020",2020-03-11,2020,1,3,11,10,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
71,21986,31220,"March 12, 2020",2020-03-12,2020,1,3,12,10,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
72,21987,31320,"March 13, 2020",2020-03-13,2020,1,3,13,10,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
73,21988,31420,"March 14, 2020",2020-03-14,2020,1,3,14,10,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
74,21989,31520,"March 15, 2020",2020-03-15,2020,1,3,15,11,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
75,21990,31620,"March 16, 2020",2020-03-16,2020,1,3,16,11,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
76,21991,31720,"March 17, 2020",2020-03-17,2020,1,3,17,11,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
77,21992,31820,"March 18, 2020",2020-03-18,2020,1,3,18,11,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
78,21993,31920,"March 19, 2020",2020-03-19,2020,1,3,19,11,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
79,21994,32020,"March 20, 2020",2020-03-20,2020,1,3,20,11,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
80,21995,32120,"March 21, 2020",2020-03-21,2020,1,3,21,11,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
81,21996,32220,"March 22, 2020",2020-03-22,2020,1,3,22,12,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
82,21997,32320,"March 23, 2020",2020-03-23,2020,1,3,23,12,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
83,21998,32420,"March 24, 2020",2020-03-24,2020,1,3,24,12,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
84,21999,32520,"March 25, 2020",2020-03-25,2020,1,3,25,12,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
85,22000,32620,"March 26, 2020",2020-03-26,2020,1,3,26,12,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
86,22001,32720,"March 27, 2020",2020-03-27,2020,1,3,27,12,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
87,22002,32820,"March 28, 2020",2020-03-28,2020,1,3,28,12,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
88,22003,32920,"March 29, 2020",2020-03-29,2020,1,3,29,13,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
89,22004,33020,"March 30, 2020",2020-03-30,2020,1,3,30,13,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
90,22005,33120,"March 31, 2020",2020-03-31,2020,1,3,31,13,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
91,22006,40120,"April 1, 2020",2020-04-01,2020,2,4,1,13,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
92,22007,40220,"April 2, 2020",2020-04-02,2020,2,4,2,13,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
93,22008,40320,"April 3, 2020",2020-04-03,2020,2,4,3,13,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
94,22009,40420,"April 4, 2020",2020-04-04,2020,2,4,4,13,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
95,22010,40520,"April 5, 2020",2020-04-05,2020,2,4,5,14,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
96,22011,40620,"April 6, 2020",2020-04-06,2020,2,4,6,14,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
97,22012,40720,"April 7, 2020",2020-04-07,2020,2,4,7,14,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
98,22013,40820,"April 8, 2020",2020-04-08,2020,2,4,8,14,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
99,22014,40920,"April 9, 2020",2020-04-09,2020,2,4,9,14,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
100,22015,41020,"April 10, 2020",2020-04-10,2020,2,4,10,14,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
101,22016,41120,"April 11, 2020",2020-04-11,2020,2,4,11,14,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
102,22017,41220,"April 12, 2020",2020-04-12,2020,2,4,12,15,Sun,1,JAN1960,EASTER,ETC/GMT+7,GMT-07:00,-25200
103,22018,41320,"April 13, 2020",2020-04-13,2020,2,4,13,15,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
104,22019,41420,"April 14, 2020",2020-04-14,2020,2,4,14,15,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
105,22020,41520,"April 15, 2020",2020-04-15,2020,2,4,15,15,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
106,22021,41620,"April 16, 2020",2020-04-16,2020,2,4,16,15,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
107,22022,41720,"April 17, 2020",2020-04-17,2020,2,4,17,15,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
108,22023,41820,"April 18, 2020",2020-04-18,2020,2,4,18,15,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
109,22024,41920,"April 19, 2020",2020-04-19,2020,2,4,19,16,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
110,22025,42020,"April 20, 2020",2020-04-20,2020,2,4,20,16,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
111,22026,42120,"April 21, 2020",2020-04-21,2020,2,4,21,16,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
112,22027,42220,"April 22, 2020",2020-04-22,2020,2,4,22,16,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
113,22028,42320,"April 23, 2020",2020-04-23,2020,2,4,23,16,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
114,22029,42420,"April 24, 2020",2020-04-24,2020,2,4,24,16,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
115,22030,42520,"April 25, 2020",2020-04-25,2020,2,4,25,16,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
116,22031,42620,"April 26, 2020",2020-04-26,2020,2,4,26,17,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
117,22032,42720,"April 27, 2020",2020-04-27,2020,2,4,27,17,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
118,22033,42820,"April 28, 2020",2020-04-28,2020,2,4,28,17,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
119,22034,42920,"April 29, 2020",2020-04-29,2020,2,4,29,17,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
120,22035,43020,"April 30, 2020",2020-04-30,2020,2,4,30,17,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
121,22036,50120,"May 1, 2020",2020-05-01,2020,2,5,1,17,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
122,22037,50220,"May 2, 2020",2020-05-02,2020,2,5,2,17,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
123,22038,50320,"May 3, 2020",2020-05-03,2020,2,5,3,18,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
124,22039,50420,"May 4, 2020",2020-05-04,2020,2,5,4,18,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
125,22040,50520,"May 5, 2020",2020-05-05,2020,2,5,5,18,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
126,22041,50620,"May 6, 2020",2020-05-06,2020,2,5,6,18,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
127,22042,50720,"May 7, 2020",2020-05-07,2020,2,5,7,18,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
128,22043,50820,"May 8, 2020",2020-05-08,2020,2,5,8,18,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
129,22044,50920,"May 9, 2020",2020-05-09,2020,2,5,9,18,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
130,22045,51020,"May 10, 2020",2020-05-10,2020,2,5,10,19,Sun,1,JAN1960,MOTHERS,ETC/GMT+7,GMT-07:00,-25200
131,22046,51120,"May 11, 2020",2020-05-11,2020,2,5,11,19,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
132,22047,51220,"May 12, 2020",2020-05-12,2020,2,5,12,19,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
133,22048,51320,"May 13, 2020",2020-05-13,2020,2,5,13,19,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
134,22049,51420,"May 14, 2020",2020-05-14,2020,2,5,14,19,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
135,22050,51520,"May 15, 2020",2020-05-15,2020,2,5,15,19,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
136,22051,51620,"May 16, 2020",2020-05-16,2020,2,5,16,19,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
137,22052,51720,"May 17, 2020",2020-05-17,2020,2,5,17,20,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
138,22053,51820,"May 18, 2020",2020-05-18,2020,2,5,18,20,Mon,2,JAN1960,VICTORIA,ETC/GMT+7,GMT-07:00,-25200
139,22054,51920,"May 19, 2020",2020-05-19,2020,2,5,19,20,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
140,22055,52020,"May 20, 2020",2020-05-20,2020,2,5,20,20,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
141,22056,52120,"May 21, 2020",2020-05-21,2020,2,5,21,20,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
142,22057,52220,"May 22, 2020",2020-05-22,2020,2,5,22,20,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
143,22058,52320,"May 23, 2020",2020-05-23,2020,2,5,23,20,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
144,22059,52420,"May 24, 2020",2020-05-24,2020,2,5,24,21,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
145,22060,52520,"May 25, 2020",2020-05-25,2020,2,5,25,21,Mon,2,JAN1960,MEMORIAL,ETC/GMT+7,GMT-07:00,-25200
146,22061,52620,"May 26, 2020",2020-05-26,2020,2,5,26,21,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
147,22062,52720,"May 27, 2020",2020-05-27,2020,2,5,27,21,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
148,22063,52820,"May 28, 2020",2020-05-28,2020,2,5,28,21,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
149,22064,52920,"May 29, 2020",2020-05-29,2020,2,5,29,21,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
150,22065,53020,"May 30, 2020",2020-05-30,2020,2,5,30,21,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
151,22066,53120,"May 31, 2020",2020-05-31,2020,2,5,31,22,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
152,22067,60120,"June 1, 2020",2020-06-01,2020,2,6,1,22,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
153,22068,60220,"June 2, 2020",2020-06-02,2020,2,6,2,22,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
154,22069,60320,"June 3, 2020",2020-06-03,2020,2,6,3,22,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
155,22070,60420,"June 4, 2020",2020-06-04,2020,2,6,4,22,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
156,22071,60520,"June 5, 2020",2020-06-05,2020,2,6,5,22,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
157,22072,60620,"June 6, 2020",2020-06-06,2020,2,6,6,22,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
158,22073,60720,"June 7, 2020",2020-06-07,2020,2,6,7,23,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
159,22074,60820,"June 8, 2020",2020-06-08,2020,2,6,8,23,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
160,22075,60920,"June 9, 2020",2020-06-09,2020,2,6,9,23,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
161,22076,61020,"June 10, 2020",2020-06-10,2020,2,6,10,23,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
162,22077,61120,"June 11, 2020",2020-06-11,2020,2,6,11,23,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
163,22078,61220,"June 12, 2020",2020-06-12,2020,2,6,12,23,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
164,22079,61320,"June 13, 2020",2020-06-13,2020,2,6,13,23,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
165,22080,61420,"June 14, 2020",2020-06-14,2020,2,6,14,24,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
166,22081,61520,"June 15, 2020",2020-06-15,2020,2,6,15,24,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
167,22082,61620,"June 16, 2020",2020-06-16,2020,2,6,16,24,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
168,22083,61720,"June 17, 2020",2020-06-17,2020,2,6,17,24,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
169,22084,61820,"June 18, 2020",2020-06-18,2020,2,6,18,24,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
170,22085,61920,"June 19, 2020",2020-06-19,2020,2,6,19,24,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
171,22086,62020,"June 20, 2020",2020-06-20,2020,2,6,20,24,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
172,22087,62120,"June 21, 2020",2020-06-21,2020,2,6,21,25,Sun,1,JAN1960,FATHERS,ETC/GMT+7,GMT-07:00,-25200
173,22088,62220,"June 22, 2020",2020-06-22,2020,2,6,22,25,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
174,22089,62320,"June 23, 2020",2020-06-23,2020,2,6,23,25,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
175,22090,62420,"June 24, 2020",2020-06-24,2020,2,6,24,25,Wed,4,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
176,22091,62520,"June 25, 2020",2020-06-25,2020,2,6,25,25,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
177,22092,62620,"June 26, 2020",2020-06-26,2020,2,6,26,25,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
178,22093,62720,"June 27, 2020",2020-06-27,2020,2,6,27,25,Sat,7,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
179,22094,62820,"June 28, 2020",2020-06-28,2020,2,6,28,26,Sun,1,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
180,22095,62920,"June 29, 2020",2020-06-29,2020,2,6,29,26,Mon,2,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
181,22096,63020,"June 30, 2020",2020-06-30,2020,2,6,30,26,Tue,3,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
182,22097,70120,"July 1, 2020",2020-07-01,2020,3,7,1,26,Wed,4,JAN1960,CANADA,ETC/GMT+7,GMT-07:00,-25200
183,22098,70220,"July 2, 2020",2020-07-02,2020,3,7,2,26,Thu,5,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
184,22099,70320,"July 3, 2020",2020-07-03,2020,3,7,3,26,Fri,6,JAN1960,No,ETC/GMT+7,GMT-07:00,-25200
